VARIABLE,SOURCE,LEVEL,DEFINITION,TYPE,MISSING_SENTINELS,PRIMARY_OR_SUPPLEMENTARY,ANALYTICAL_USE,LIMITATION
PAPER_TITLE,OpenAlex,Paper,Scholarly work title returned for the input DOI.,String,No data,Supplementary,Corpus description and traceability.,Titles may differ across metadata sources or versions.
DOI,Input/OpenAlex,Paper,Normalized digital object identifier used as the corpus key.,String,None expected,Primary,DOI reconciliation and paper-level grouping.,"A DOI identifies a registered object, not necessarily a unique study."
YEAR,OpenAlex,Paper,Publication year associated with the OpenAlex work record.,Integer,No data; n/d,Primary,Descriptive publication-year range.,Online-first and issue years can differ.
OPEN_ACCESS_OA,OpenAlex,Paper,OpenAlex open-access indicator for the work.,Boolean,None expected,Supplementary,Descriptive metadata only.,Open-access status can change and depends on source coverage.
FUNDING_OA,OpenAlex,Paper,Pipe-delimited funder names associated with the work.,String,No data,Supplementary,Potential future funding analyses.,Funding acknowledgements are incompletely indexed.
AUTHOR_NAME,OpenAlex with source fallbacks,Author-paper,Display name retained for the consolidated author record.,String,No data,Primary,Fallback identity construction and record interpretation.,Names are not stable person identifiers and may include variants.
AUTHOR_POS_OA,OpenAlex; source fallback when absent,Author-paper,"Byline position category: first, middle, last, or unknown.",Categorical,Unknown; No data,Primary,First- and last-author leadership summaries.,Position conventions vary by field and do not fully encode contribution.
IS_CORRESPONDING_OA,OpenAlex,Author-paper,Indicator that the authorship was marked as corresponding.,Boolean,False when not marked,Primary,Corresponding-author leadership summaries.,Corresponding-author metadata can be incomplete and multiple authors may be marked.
AFFILIATION_OA,OpenAlex,Author-paper,Display name of the first listed OpenAlex institution for the authorship.,String,No data; MISSING_IN_OA,Primary,Affiliation reporting and geographic interpretation.,A single retained institution does not represent all concurrent affiliations.
GEO_COUNTRY_OA,OpenAlex,Author-paper,Country code from the first institution or authorship-country fallback.,ISO-like code,UNKNOWN; No data,Primary,Africa/outside-Africa and country analyses.,"Represents publication-time affiliation evidence, not nationality or origin."
AUTHOR_ID_OA,OpenAlex,Author-paper,OpenAlex author identifier or explicit source-fallback sentinel.,String,No data; PubMed_Fallback; Semantic_Fallback,Primary,Primary person-level deduplication key.,OpenAlex author disambiguation can contain splits or merges.
WORKS_COUNT_OA,OpenAlex author profile,Author,Cumulative works count at extraction time.,Integer,0 when unavailable,Primary,Descriptive bibliometric impact summary.,Dynamic and dependent on OpenAlex coverage and author disambiguation.
CITATIONS_OA,OpenAlex author profile,Author,Cumulative cited-by count at extraction time.,Integer,0 when unavailable,Primary,Descriptive bibliometric impact summary.,"Dynamic, field dependent, and affected by database coverage."
HINDEX_OA,OpenAlex author profile,Author,OpenAlex H-index at extraction time.,Numeric,0 when unavailable,Primary,Regional and country impact distributions.,"Career-length, field, database, and identity-resolution dependent."
I10INDEX_OA,OpenAlex author profile,Author,Number of works with at least ten citations.,Integer,0 when unavailable,Supplementary,Available for secondary bibliometric analyses.,Dynamic and database dependent.
2YR_MEAN_OA,OpenAlex author profile,Author,OpenAlex two-year mean citedness statistic.,Numeric,0 when unavailable,Supplementary,Available for time-sensitive impact analyses.,"Sensitive to field, publication timing, and OpenAlex definitions."
TOPICS_OA,OpenAlex author profile,Author,Pipe-delimited leading OpenAlex topics for the author.,String,No data,Supplementary,Input to exploratory professional-profile classification.,Automated topic assignment may be incomplete or imprecise.
PRIMARY_TOPIC_OA,OpenAlex,Paper,Primary OpenAlex topic assigned to the work.,String,No data,Supplementary,Paper-level topical context.,Automated topic assignment does not replace expert classification.
KEYWORDS_OA,OpenAlex,Paper/author context,Comma-delimited leading OpenAlex concepts retained by the pipeline.,String,No data,Supplementary,Input to exploratory professional-profile classification.,Concept labels are algorithmic and limited to retained leading values.
PMID_PM,PubMed,Paper,PubMed identifier resolved from the DOI.,String,N/A; No data,Supplementary,Cross-source traceability.,Not all corpus papers are indexed in PubMed.
MESH_PM,PubMed,Paper,First five retained Medical Subject Headings.,String,No data,Supplementary,Biomedical topical context.,MeSH is unavailable for unindexed or incompletely indexed records.
FUNDING_PM,PubMed,Paper,Pipe-delimited funding agencies reported in PubMed.,String,No data,Supplementary,Potential future funding analyses.,Funding metadata are incomplete and source dependent.
AUTHOR_NAME_PM,PubMed,Author-paper,PubMed author name matched through persistent identifiers.,String,SKIP; NOT_FOUND_IN_PM; No data,Supplementary,Cross-source author reconciliation audit.,"PubMed records often lack ORCID, reducing match coverage."
AFFILIATION_PM,PubMed,Author-paper,Affiliation text from the matched PubMed author record.,String,N/A; No affiliation; No data,Supplementary,Cross-source affiliation context.,Affiliation assignment in PubMed can be incomplete.
INFLUENTIAL_CITATIONS_SS,Semantic Scholar,Paper,Semantic Scholar influential-citation count for the paper.,Integer,0 when unavailable,Supplementary,Available for secondary paper-level analyses.,Algorithmic and dependent on Semantic Scholar coverage.
CITATION_CONTEXTS_SS,Semantic Scholar,Paper,Reserved field for citation-context text.,String,N/A; No data,Supplementary,No primary use in the completed analysis.,The field was unpopulated in the completed run.
AUTHOR_ID_SS,Semantic Scholar,Author-paper,Semantic Scholar author identifier matched through ORCID or Scopus ID.,String,N/A; NO_ID_SS; NOT_FOUND_IN_SS,Supplementary,Cross-source author reconciliation audit.,Identifier matching is limited by persistent-identifier availability.
AUTHOR_NAME_SS,Semantic Scholar,Author-paper,Semantic Scholar display name for the matched author.,String,SKIP; NOT_FOUND_IN_SS; No data,Supplementary,Cross-source author reconciliation audit.,Name variants and missing persistent identifiers reduce match coverage.
ORCID_SS,Semantic Scholar,Author-paper,ORCID returned in Semantic Scholar external identifiers.,String,NO_ORCID_SS; No data,Supplementary,Persistent-identifier reconciliation.,Very low field coverage in the completed output.
HINDEX_SS,Semantic Scholar author profile,Author,Semantic Scholar H-index for the matched author.,Numeric,0 when unavailable,Supplementary,Cross-source bibliometric context.,Not directly comparable with OpenAlex because coverage and identities differ.
CITATIONS_SS,Semantic Scholar author profile,Author,Semantic Scholar cumulative citation count for the matched author.,Integer,0 when unavailable,Supplementary,Cross-source bibliometric context.,Not directly comparable with OpenAlex because coverage and identities differ.
ORCID,OpenAlex with Semantic Scholar fallback,Author,Consolidated ORCID retained for the author.,String,NO_ORCID; No data,Supplementary,Cross-source reconciliation and ORCID retrieval.,Identifiers can be absent or unauthenticated in source metadata.
ORCID_EMPLOYMENT,ORCID public API,Author,Most recent visible ORCID employment organization and department.,String,No ORCID ID; No employment data listed in ORCID,Supplementary,Exploratory professional-profile context.,"Records may be private, incomplete, outdated, or user-entered."
GENDER,Genderize with Azure OpenAI fallback,Author-paper,Binary name-inferred label or Unknown/N/A sentinel.,Categorical,Unknown; N/A,Supplementary,Exploratory name-inferred gender summaries.,Not self-identified gender; binary inference is culturally variable and excludes nonbinary identities.
PROFILE_CLASSIFICATION,Azure OpenAI,Author-paper,LLM-inferred professional-domain category plus retained gender token.,Categorical string,UNKNOWN_DOMAIN; ERROR_LLM,Supplementary,Exploratory professional-profile composition.,Automated inference was not independently expert validated.
